lead_id,company_name,industry,lead_source,sales_rep,region,created_date,current_stage,stage_last_updated,last_contact_date,deal_value,lost_reason,notes
LD1000,CV Bumi Perkasa,Construction,Email Campaign,Siti Nurhaliza,Makassar,2024-04-24,Lead In,2024-05-30,,,,Follow up next week
LD1001,PT. Berkah Mandiri,F&B,Cold Call,Budi Santoso,,2025-07-28,Contacted,2025-10-20,2025-10-25,,,Waiting for PO
LD1002,PT Tunas Muda,Education,Trade Show,Siti Nurhaliza,Yogyakarta,2025-01-24,Lead In,2025-03-10,2025-03-18,,,Client on vacation
LD1003,UD Mitra Sejahtera,Technology,Referral,Budi Santoso,Palembang,2024-10-23,Closed Lost,2024-11-22,2024-11-02,58259000.0,Project cancelled,VIP client
LD1004,PT. Karya Utama,Education,Referral,Budi Santoso,Yogyakarta,2024-02-02,Closed Won,2024-03-25,2024-03-27,131702000.0,,Needs approval from board
LD1005,UD Cipta Karya,Manufacturing,Website,,Palembang,2024-03-04,Negotiation,2024-04-18,2024-04-24,90269000.0,,Waiting for PO
LD1006,UD Harapan Baru,Manufacturing,Email Campaign,Siti Nurhaliza,,2025-03-21,Contacted,2025-03-22,2025-03-30,,,VIP client
LD1007,UD Berkah Mandiri,,Partner,Siti Nurhaliza,Jakarta,2025-07-06,Closed Lost,2025-09-12,2025-09-06,18556000.0,,
LD1008,UD Tunas Muda,Technology,Social Media,Siti Nurhaliza,Surabaya,2024-09-28,Proposal Sent,2024-12-15,2024-10-06,33346000.0,,
LD1009,CV Delta Solusi,Construction,Referral,Yuni Shara,,2024-03-13,Negotiation,2024-03-21,,136002000.0,,Needs approval from board
LD1010,CV Nusantara Jaya,Manufacturing,Social Media,Dewi Lestari,,2024-02-25,Proposal Sent,2024-05-18,2024-04-21,61588000.0,,VIP client
LD1011,PT. Cahaya Abadi,Logistics,Website,Ahmad Fauzi,Bandung,2024-08-30,Contacted,2024-11-01,2024-10-05,,,VIP client
LD1012,PT Sejahtera Bersama,Finance,Partner,Yuni Shara,Yogyakarta,2024-10-30,Contacted,2024-11-07,,,,VIP client
LD1013,UD Global Teknindo,Education,LinkedIn,Rina Marlina,Surabaya,2024-03-10,Proposal Sent,2024-04-10,,141356000.0,,Waiting for PO
LD1015,CV Global Teknindo,Manufacturing,Referral,Rina Marlina,Surabaya,2024-05-17,Contacted,2024-05-31,2024-06-06,,,VIP client
LD1016,UD Sinar Jaya,Retail,Email Campaign,Ahmad Fauzi,Yogyakarta,2024-10-10,Lead In,2024-11-22,,,,
LD1017,UD Cahaya Abadi,Manufacturing,Referral,,Surabaya,2025-07-19,Contacted,2025-08-05,2025-07-25,,,VIP client
LD1018,CV Global Teknindo,Retail,LinkedIn,Siti Nurhaliza,Medan,2024-08-30,Closed Won,2024-09-22,2024-09-29,51163000.0,,Send revised proposal
LD1019,UD Sumber Makmur,Education,Cold Call,Andi Wijaya,Makassar,2024-07-16,Qualified,2024-08-21,,96939000.0,,Needs approval from board
LD1020,PT NUSANTARA JAYA,,,Budi Santoso,Denpasar,2025-07-06,Contacted,2025-08-20,2025-08-31,,,Needs approval from board
LD1021,PT. Sinar Jaya,Retail,Cold Call,Ahmad Fauzi,Yogyakarta,2024-05-07,Negotiation,2024-06-15,2024-05-26,100700000.0,,Needs approval from board
LD1022,UD Mitra Sejahtera,Education,,Dewi Lestari,Denpasar,2025-03-28,Qualified,2025-04-25,2025-04-11,119473000.0,,
LD1023,PT Nusantara Jaya,Retail,,Budi Santoso,Semarang,2024-03-15,Qualified,2024-06-04,2024-05-25,108315000.0,,
LD1024,PT. Tunas Muda,Finance,Referral,,Bandung,2024-11-20,Closed Lost,2025-01-16,2025-01-21,124924000.0,Project cancelled,Send revised proposal
LD1025,PT. Sejahtera Bersama,Construction,Trade Show,Budi Santoso,Surabaya,2024-12-09,Qualified,2025-02-17,2025-01-27,24323000.0,,
