lead_id,company_name,industry,lead_source,sales_rep,region,created_date,current_stage,stage_last_updated,last_contact_date,deal_value_raw,lost_reason,notes
LD1634,UD Maju Terus,Education,LinkedIn,Dewi Lestari,bandung,07-25-2025,Negotiation,2025/10/04,06-Aug-2025,111624000,,
LD1339,CV Global Teknindo,Healthcare,Cold Call,,Palembang,11-Jan-2025,Closed Won,2025-01-14,14-Jan-2025,135974000,,Follow up next week
LD1364,UD Sumber Makmur,Finance,,Budi Santoso,Palembang,04/06/2024,Negotiation,11-Aug-2024,,63185000,,Client on vacation
LD1617,PT. Nusantara Jaya,Healthcare,,Siti Nurhaliza,bandung,11-20-2024,Qualified,17/12/2024,2024-12-09,120369000.0 ,,Needs approval from board
LD1806,PT Indo Sukses,Technology,Inbound Call,,,05-12-2024,Qualified,25-Jul-2024,,,,Waiting for PO
ld1737,PT. Cahaya Abadi,Healthcare,Inbound Call,Rina Marlina,Palembang,13-May-2025,Closed Won,2025/06/25,03/07/2025,91380000,,Client on vacation
LD1471,PT Tunas Muda,Construction,Inbound Call,,Medan,2024-10-05,Closed Lost,2024-12-11,,142759000,Timing not right,Needs approval from board
LD1642,PT. Bumi Perkasa,,website,Ahmad Fauzi,Makassar,26/06/2025,Qualified,07-17-2025,20/07/2025,38822000.0 ,,Needs approval from board
LD1729,UD Nusantara Jaya,Education,Trade Show,Andi wijaya,bandung,2024-04-19,Closed Won,06-30-2024,2024-04-29,117955000,,
LD1087,PT. Central Distribusi,Healthcare,Cold Call ,Andi wijaya,jakarta,23/10/2024,Proposal Sent,12-01-2024,2024/12/07,121094000,,Client on vacation
LD1593,CV Karya Utama,retail,Email Campaign,Siti Nurhaliza,Makassar,20/04/2025,Proposal Sent,17/07/2025,2025/07/22,146189000.0 ,,
LD1362,PT Mega Trading,Finance,,Siti Nurhaliza,,03/06/2024,Closed Won,08-08-2024,08/06/2024,142048000,,
LD1056,UD Tunas Muda,Construction,Website,Budi Santoso,Semarang,02-May-2025,Qualified,2025-06-18,2025-05-29,18140000,,Send revised proposal
LD1496,PT. Sejahtera Bersama,Logistics,referral,Dewi Lestari,Jakarta,2024-03-08,Qualified,25-May-2024,,34185000,,Waiting for PO
LD1024,PT. Tunas Muda,Finance,referral,,Bandung,11-20-2024,Closed Lost,16/01/2025,01-21-2025,124924000,Project cancelled,Send revised proposal
LD1557,PT Mitra Sejahtera,Retail,LinkedIn,Ahmad Fauzi,Jakarta,2025-02-14,Contacted,2025/03/21,02-Apr-2025,,,
LD1563,PT Prima Nusantara,Logistics,referral,Siti Nurhaliza,Yogyakarta,02/03/2025,Contacted,2025-05-02,,,,
LD1487,PT Delta Solusi,F&B,Inbound Call,Ahmad Fauzi,Palembang,04/02/2025,Contacted,2025-04-28,27/03/2025,,,VIP client
